Вектор Мощи|Скорость перехода через портал|Приток Силы Потока|Ритм магического ядра|Поток Энергий|Сила Левого Потока|Сила Правого Потока|Пламя Стихий|Температура вдоха Истока|Температура выдоха Истока|Приток давления Выдоха Истока|Давление вдоха Истока|Давление выдоха Истока|Древний Ветер|Печать Чародея|Эмульсия Истока|Дыхание Истока|Гармония Бессмертия|Тип Вектора Мощи|Номер пометки
4.161|6.17328|14724.872|162.0504700155097|7802.704|113.798|113.798|656.974|736|-|1.656|1.394603|8.962|-|17.894|0.354|0.95|0.98|Ниже среднего|48
5.14|7.7166|21637.135|201.51452861137392|8499.345|175.329|175.329|726.517|736|-|2.077|1.394603|11.139|-|26.09|0.516|0.95|0.98|Выше среднего|49
6.175|-|29794.302|241.62449865681623|8833.546|246.236|246.236|794.789|736|-|2.5|Не определено|13.287|-|35.393|0.701|0.95|0.98|Выше среднего|50
7.148|10.80324|38980.287|280.4487195488994|9134.934|332.194|332.194|849.545|736|-|2.96|Не определено|15.592|-|45.473|0.9|0.95|0.98|Сильный|51
8.206|12.34656|50998.05|323.3362763791356|9320.404|438.004|438.004|946.906|736|-|3.572|1.394603|18.525|-|61.954|1.226|0.95|0.98|Сильный|52
9.3|13.88988|72767.018|372.84547276509807|9782.442|644.844|644.844|1111.29|736|-|4.492|Не определено|22.674|-|92.023|1.822|0.95|0.98|Сильный|53
1.138|1.54332|2951.927|148.4065331209692|6740.109|11.583|11.583|538.322|736|564.943|1.207|Не определено|6.528|1.019|0.0|0.162|0.95|0.981|Слабый|54
2.088|3.08664|6804.076|142.81240380247698|6836.062|25.915|25.915|629.367|736|579.931|1.323|Не определено|7.2|1.019|16.701|0.286|0.95|0.981|Слабый|55
3.144|-|8379.829|145.22127232949452|7127.343|60.364|60.364|601.03|736|-|1.388|Не определено|7.53|-|12.881|0.255|0.95|0.981|Ниже среднего|56
4.161|6.17328|14724.969|162.0505747352648|7804.726|113.802|113.802|656.081|736|-|1.656|Не определено|8.953|-|17.852|0.353|0.95|0.981|Ниже среднего|57
5.14|7.7166|21637.62|201.51463333112903|8500.268|175.336|175.336|725.531|736|-|2.077|Не определено|11.128|-|26.034|0.515|0.95|0.981|Выше среднего|58
6.175|9.25992|29794.58|241.62303258024457|8834.58|246.315|246.315|793.671|736|-|2.499|Не определено|13.273|-|35.321|0.699|0.95|0.981|Выше среднего|59
7.148|10.80324|38979.934|280.4487195488994|9135.434|332.058|332.058|848.513|736|698.909|2.96|Не определено|15.575|1.035|45.392|0.899|0.95|0.981|Сильный|60
8.206|12.34656|50998.096|323.3365905384009|9320.766|438.054|438.054|945.871|736|-|3.571|Не определено|18.504|-|61.857|1.225|0.95|0.981|Сильный|61
9.3|13.88988|72767.717|372.84599636387367|9783.213|644.801|644.801|1110.396|736|-|4.49|Не определено|22.647|-|91.917|1.82|0.95|0.981|Сильный|62
1.138|1.54332|3774.812|148.5853944627136|6744.353|11.699|11.699|562.543|736|-|1.236|Не определено|6.688|-|0.0|0.191|0.95|0.982|Слабый|63
2.088|3.08664|6606.714|142.30660738524904|6835.649|25.032|25.032|624.597|736|578.975|1.316|Не определено|7.155|1.019|18.868|0.282|0.95|0.982|Слабый|64
3.144|4.6299600000000005|8379.928|145.22127232949452|7129.934|60.365|60.365|600.208|736|-|1.388|Не определено|7.522|-|12.847|0.254|0.95|0.982|Ниже среднего|65
4.161|6.17328|14725.068|162.0506794550199|7806.748|113.794|113.794|655.19|736|-|1.656|1.394603|8.943|-|17.809|0.353|0.95|0.982|Ниже среднего|66
5.14|7.7166|21637.728|201.5148427706393|8501.181|175.288|175.288|724.546|736|-|2.076|1.394603|11.116|-|25.977|0.514|0.95|0.982|Выше среднего|67
6.175|9.25992|29794.844|241.621671223428|8835.613|246.246|246.246|792.556|736|-|2.499|1.394603|13.259|-|35.248|0.698|0.95|0.982|Выше среднего|68
7.148|10.80324|38979.558|280.4487195488994|9135.933|332.152|332.152|847.483|736|-|2.959|Не определено|15.558|-|45.312|0.897|0.95|0.982|Сильный|69
8.206|12.34656|50998.04|323.3365905384009|9321.126|438.031|438.031|944.838|736|-|3.57|Не определено|18.482|-|61.761|1.223|0.95|0.982|Сильный|70
9.3|13.88988|72768.206|372.8466246824044|9783.976|644.965|644.965|1109.503|736|-|4.489|1.394603|22.619|-|91.811|1.817|0.95|0.982|Сильный|71
1.138|1.54332|4053.735|148.480779427349|6746.47|11.648|11.648|570.474|736|569.653|1.245|Не определено|6.73|1.019|0.0|0.2|0.95|0.983|Слабый|72
2.088|3.08664|6563.076|142.23393187519596|6837.777|24.908|24.908|622.744|736|-|1.314|Не определено|7.139|-|19.074|0.28|0.95|0.983|Слабый|73
3.144|4.6299600000000005|8380.079|145.2213770492496|7132.53|60.363|60.363|599.387|736|586.387|1.388|1.394603|7.515|1.02|12.813|0.254|0.95|0.983|Ниже среднего|74
4.161|6.17328|14725.087|162.0506794550199|7808.765|113.802|113.802|654.301|736|-|1.656|Не определено|8.934|-|17.767|0.352|0.95|0.983|Ниже среднего|75
5.14|7.7166|21637.989|201.5149474903944|8502.099|175.321|175.321|723.564|736|-|2.076|1.394603|11.105|-|25.921|0.513|0.95|0.983|Выше среднего|76
6.175|9.25992|29795.241|241.6210429048973|8836.655|246.255|246.255|791.444|736|674.599|2.499|Не определено|13.246|1.03|35.176|0.696|0.95|0.983|Выше среднего|77
7.148|10.80324|38979.213|280.4488242686545|9136.433|332.045|332.045|846.457|736|698.564|2.958|Не определено|15.541|1.035|45.231|0.896|0.95|0.983|Сильный|78
8.206|12.34656|50997.94|323.3362763791356|9321.484|438.004|438.004|943.809|736|-|3.569|Не определено|18.461|-|61.664|1.221|0.95|0.983|Сильный|79
9.3|13.88988|72768.423|372.8474624404453|9784.732|645.029|645.029|1108.612|736|-|4.488|Не определено|22.592|-|91.705|1.815|0.95|0.983|Сильный|80
1.138|1.54332|5449.868|147.4290789266823|6743.278|11.046|11.046|610.426|736|-|1.288|1.394603|6.975|-|0.0|0.249|0.95|0.984|Слабый|81
2.088|3.08664|6491.693|142.07622392398576|6839.411|24.629|24.629|620.37|736|-|1.311|Не определено|7.118|-|19.526|0.278|0.95|0.984|Слабый|82
3.144|4.6299600000000005|8380.141|145.22148176900473|7135.12|60.365|60.365|598.568|736|-|1.388|Не определено|7.508|-|12.78|0.253|0.95|0.984|Ниже среднего|83
4.161|6.17328|14725.17|162.050784174775|7810.79|113.792|113.792|653.415|736|-|1.656|Не определено|8.925|-|17.724|0.351|0.95|0.984|Ниже среднего|84
5.14|7.7166|21638.127|201.51515692990463|8503.014|175.304|175.304|722.583|736|-|2.076|Не определено|11.093|-|25.865|0.512|0.95|0.984|Выше среднего|85
6.175|9.25992|29795.502|241.61989098759105|8837.687|246.333|246.333|790.336|736|-|2.498|Не определено|13.232|-|35.103|0.695|0.95|0.984|Выше среднего|86
7.148|10.80324|38978.773|280.4487195488994|9136.933|332.181|332.181|845.431|736|-|2.958|Не определено|15.524|-|45.15|0.894|0.95|0.984|Сильный|87
8.206|12.34656|50997.82|323.33617165938045|9321.842|438.067|438.067|942.782|736|-|3.568|Не определено|18.44|-|61.568|1.219|0.95|0.984|Сильный|88
9.3|13.88988|72770.382|372.8464152428941|9785.504|644.892|644.892|1107.732|736|787.827|4.487|1.394603|22.565|1.049|91.601|1.813|0.95|0.984|Сильный|89
1.138|1.54332|6303.74|146.2925554243686|6739.385|10.4|10.4|634.168|736|-|1.312|Не определено|7.11|-|0.0|0.278|0.95|0.985|Слабый|90
2.088|3.08664|6420.429|141.97747319490793|6841.396|24.465|24.465|617.954|736|-|1.309|Не определено|7.101|-|20.263|0.276|0.95|0.985|Слабый|91
3.144|4.6299600000000005|8380.258|145.22148176900473|7137.715|60.371|60.371|597.75|736|-|1.388|Не определено|7.501|-|12.746|0.252|0.95|0.985|Ниже среднего|92
4.161|6.17328|14725.326|162.050784174775|7812.823|113.806|113.806|652.531|736|-|1.655|1.394603|8.916|-|17.682|0.35|0.95|0.985|Ниже среднего|93
5.14|7.7166|21638.294|201.5153663694149|8503.93|175.328|175.328|721.606|736|643.808|2.076|Не определено|11.082|1.026|25.809|0.511|0.95|0.985|Выше среднего|94
6.175|9.25992|29795.876|241.61926266906028|8838.727|246.256|246.256|789.231|736|-|2.498|Не определено|13.218|-|35.031|0.694|0.95|0.985|Выше среднего|95
7.148|10.80324|38978.199|280.4480912303687|9137.443|332.044|332.044|844.398|736|-|2.957|Не определено|15.507|-|45.07|0.892|0.95|0.985|Сильный|96
8.206|-|50997.702|323.3359622198702|9322.199|437.99|437.99|941.759|736|-|3.567|1.394603|18.419|-|61.472|1.217|0.95|0.985|Сильный|97
9.3|13.88988|72771.461|372.8464152428941|9786.262|644.815|644.815|1106.85|736|787.691|4.485|Не определено|22.538|1.049|91.496|1.811|0.95|0.985|Сильный|98
1.138|1.54332|7325.655|143.98893025124636|6728.644|9.099|9.099|666.257|736|-|1.334|1.394603|7.245|-|4.989|0.322|0.95|0.986|Слабый|99
2.088|3.08664|6310.331|141.82688618704586|6843.08|24.201|24.201|614.503|736|-|1.305|Не определено|7.074|-|20.679|0.272|0.95|0.986|Слабый|100
3.144|4.6299600000000005|8380.39|145.22158648875984|7140.311|60.369|60.369|596.935|736|-|1.388|Не определено|7.493|-|12.712|0.252|0.95|0.986|Ниже среднего|101
4.161|6.17328|14725.397|162.05088889453015|7814.85|113.784|113.784|651.649|736|-|1.655|Не определено|8.907|-|17.64|0.349|0.95|0.986|Ниже среднего|102
5.14|7.7166|21638.498|201.51547108917|8504.847|175.3|175.3|720.631|736|-|2.075|Не определено|11.071|-|25.754|0.51|0.95|0.986|Выше среднего|103
6.175|9.25992|29796.172|241.6182154715091|8839.761|246.337|246.337|788.13|736|-|2.497|Не определено|13.205|-|34.959|0.692|0.95|0.986|Выше среднего|104
7.148|-|38977.811|280.44777707110336|9137.95|332.138|332.138|843.367|736|698.053|2.957|Не определено|15.49|1.035|44.989|0.891|0.95|0.986|Сильный|105
8.206|12.34656|50997.591|323.33575278036|9322.556|437.99|437.99|940.739|736|-|3.566|Не определено|18.398|-|61.376|1.215|0.95|0.986|Сильный|106
9.3|-|72771.813|372.8472530009351|9787.008|644.825|644.825|1105.967|736|-|4.484|Не определено|22.511|-|91.391|1.809|0.95|0.986|Сильный|107
1.138|1.54332|7456.772|142.77816044255283|6723.993|8.435|8.435|672.064|736|-|1.334|1.394603|7.246|-|11.382|0.333|0.95|0.987|Слабый|108
2.088|3.08664|6089.628|141.55796585589857|6844.03|23.732|23.732|608.51|736|-|1.298|1.394603|7.027|-|21.587|0.266|0.95|0.987|Слабый|109
3.144|4.6299600000000005|8380.489|145.22158648875984|7142.906|60.376|60.376|596.121|736|-|1.387|Не определено|7.486|-|12.678|0.251|0.95|0.987|Ниже среднего|110
4.161|6.17328|14725.441|162.05099361428526|7816.877|113.809|113.809|650.769|736|-|1.655|Не определено|8.898|-|17.598|0.348|0.95|0.987|Ниже среднего|111
5.14|7.7166|21638.563|201.51578524843535|8505.76|175.334|175.334|719.658|736|-|2.075|Не определено|11.059|-|25.698|0.509|0.95|0.987|Выше среднего|112
6.175|9.25992|29796.443|241.6173777134681|8840.795|246.268|246.268|787.032|736|-|2.497|Не определено|13.191|-|34.887|0.691|0.95|0.987|Выше среднего|113
7.148|10.80324|38977.355|280.44777707110336|9138.456|332.161|332.161|842.338|736|-|2.956|Не определено|15.473|-|44.908|0.889|0.95|0.987|Сильный|114
8.206|12.34656|50997.502|323.3354386210947|9322.912|438.025|438.025|939.722|736|-|3.566|Не определено|18.376|-|61.281|1.213|0.95|0.987|Сильный|115
9.3|13.88988|72772.94|372.8466246824044|9787.758|645.069|645.069|1105.089|736|787.42|4.483|Не определено|22.484|1.049|91.287|1.807|0.95|0.987|Сильный|116
1.138|1.54332|6810.551|139.67887457003138|6707.429|6.756|6.756|661.708|736|578.015|1.308|Не определено|7.107|1.019|25.58|0.328|0.95|0.988|Слабый|117
2.088|3.08664|6169.829|141.67975493110274|6847.342|23.94|23.94|609.547|736|-|1.301|Не определено|7.037|-|21.312|0.267|0.95|0.988|Слабый|118
3.144|4.6299600000000005|8380.543|145.22169120851498|7145.498|60.364|60.364|595.308|736|-|1.387|Не определено|7.479|-|12.645|0.25|0.95|0.988|Ниже среднего|119
4.161|6.17328|14725.555|162.05099361428526|7818.911|113.809|113.809|649.892|736|-|1.655|Не определено|8.889|-|17.556|0.348|0.95|0.988|Ниже среднего|120
5.14|-|21638.709|201.5159946879456|8506.676|175.299|175.299|718.687|736|-|2.075|1.394603|11.048|-|25.642|0.508|0.95|0.988|Выше среднего|121
6.175|9.25992|29796.753|241.6167493949374|8841.83|246.297|246.297|785.938|736|-|2.497|Не определено|13.177|-|34.816|0.689|0.95|0.988|Выше среднего|122
7.148|10.80324|38977.062|280.4475676315932|9138.963|332.158|332.158|841.313|736|-|2.955|1.394603|15.456|-|44.828|0.888|0.95|0.988|Сильный|123
8.206|12.34656|50997.385|323.3352291815844|9323.267|438.127|438.127|938.707|736|-|3.565|Не определено|18.355|-|61.186|1.211|0.95|0.988|Сильный|124
9.3|13.88988|72773.589|372.8472530009351|9788.5|645.021|645.021|1104.213|736|787.286|4.482|1.394603|22.457|1.049|91.183|1.805|0.95|0.988|Сильный|125
1.138|1.54332|4893.243|137.47096325308848|6695.191|5.598|5.598|615.36|736|570.584|1.249|Не определено|6.769|1.019|33.173|0.278|0.95|0.989|Слабый|126
2.088|3.08664|5864.141|141.35491425072152|6847.962|23.383|23.383|601.383|736|-|1.291|Не определено|6.975|-|22.212|0.258|0.95|0.989|Слабый|127
3.144|4.6299600000000005|8380.698|145.22179592827013|7148.098|60.366|60.366|594.498|736|-|1.387|Не определено|7.472|-|12.611|0.25|0.95|0.989|Ниже среднего|128
4.161|6.17328|14725.621|162.05109833404038|7820.943|113.813|113.813|649.017|736|-|1.655|Не определено|8.881|-|17.514|0.347|0.95|0.989|Ниже среднего|129
5.14|7.7166|21638.765|201.51620412745584|8507.59|175.35|175.35|717.719|736|643.085|2.074|1.394603|11.037|1.026|25.587|0.506|0.95|0.989|Выше среднего|130
6.175|9.25992|29797.061|241.61591163689644|8842.865|246.305|246.305|784.846|736|-|2.496|Не определено|13.164|-|34.745|0.688|0.95|0.989|Выше среднего|131
7.148|10.80324|38976.661|280.44735819208285|9139.469|332.072|332.072|840.29|736|-|2.955|Не определено|15.439|-|44.747|0.886|0.95|0.989|Сильный|132
8.206|12.34656|50997.254|323.33512446182925|9323.622|438.133|438.133|937.696|736|739.513|3.564|Не определено|18.334|1.041|61.091|1.209|0.95|0.989|Сильный|133
9.3|13.88988|72773.853|372.8477765997107|9789.231|645.058|645.058|1103.336|736|-|4.48|1.394603|22.43|-|91.079|1.803|0.95|0.989|Сильный|134
1.138|1.54332|3716.231|136.98862406100733|6693.633|5.337|5.337|582.833|736|-|1.212|1.394603|6.55|-|33.388|0.241|0.95|0.99|Слабый|135
2.088|3.08664|5609.242|141.1469408170539|6849.289|23.017|23.017|594.393|736|-|1.283|Не определено|6.925|-|22.981|0.25|0.95|0.99|Слабый|136
3.144|4.6299600000000005|8380.817|145.22179592827013|7150.696|60.381|60.381|593.689|736|585.343|1.387|Не определено|7.464|1.02|12.577|0.249|0.95|0.99|Ниже среднего|137
4.161|6.17328|14725.672|162.05120305379552|7822.975|113.813|113.813|648.143|736|-|1.654|Не определено|8.872|-|17.472|0.346|0.95|0.99|Ниже среднего|138
5.14|7.7166|21639.049|201.51630884721092|8508.51|175.304|175.304|716.754|736|-|2.074|1.394603|11.026|-|25.532|0.505|0.95|0.99|Выше среднего|139
6.175|9.25992|29797.33|241.6151785986106|8843.898|246.366|246.366|783.758|736|673.058|2.496|Не определено|13.15|1.03|34.673|0.687|0.95|0.99|Выше среднего|140
7.148|10.80324|38976.329|280.4475676315932|9139.976|332.101|332.101|839.27|736|-|2.954|Не определено|15.423|-|44.667|0.884|0.95|0.99|Сильный|141
8.206|12.34656|50997.156|323.3348103025639|9323.977|438.037|438.037|936.687|736|-|3.563|1.394603|18.313|-|60.996|1.208|0.95|0.99|Сильный|142
9.3|-|72774.979|372.8477765997107|9789.971|644.927|644.927|1102.466|736|-|4.479|Не определено|22.404|-|90.975|1.801|0.95|0.99|Сильный|143
1.138|1.54332|2639.688|136.93940577610107|6694.715|5.304|5.304|551.016|736|-|1.177|Не определено|6.346|-|32.625|0.204|0.95|0.991|Слабый|144
2.088|-|5612.283|141.15029184921772|6851.841|23.027|23.027|593.577|736|573.786|1.283|Не определено|6.918|1.019|22.796|0.25|0.95|0.991|Слабый|145
3.144|4.6299600000000005|8380.894|145.22190064802524|7153.292|60.37|60.37|592.882|736|-|1.387|Не определено|7.457|-|12.544|0.248|0.95|0.991|Ниже среднего|146
4.161|6.17328|14725.901|162.05120305379552|7825.024|113.811|113.811|647.273|736|611.265|1.654|Не определено|8.863|1.022|17.43|0.345|0.95|0.991|Ниже среднего|147
5.14|7.7166|21639.262|201.5165182867212|8509.428|175.306|175.306|715.792|736|642.726|2.074|1.394603|11.014|1.026|25.476|0.504|0.95|0.991|Выше среднего|148
6.175|9.25992|29797.514|241.61434084056964|8844.927|246.284|246.284|782.673|736|-|2.496|1.394603|13.137|-|34.602|0.685|0.95|0.991|Выше среднего|149
7.148|10.80324|38976.119|280.44735819208285|9140.483|332.145|332.145|838.254|736|-|2.954|Не определено|15.406|-|44.587|0.883|0.95|0.991|Сильный|150
8.206|12.34656|50997.004|323.3348103025639|9324.33|438.074|438.074|935.682|736|-|3.562|Не определено|18.292|-|60.901|1.206|0.95|0.991|Сильный|151
9.3|13.88988|72775.879|372.847986039221|9790.704|645.046|645.046|1101.598|736|-|4.478|Не определено|22.377|-|90.872|1.799|0.95|0.991|Сильный|152
1.138|1.54332|1746.991|137.22853701998648|6697.848|5.445|5.445|521.736|736|556.35|1.147|1.394603|6.173|1.019|29.309|0.168|0.95|0.992|Слабый|153
2.088|3.08664|5259.425|140.9701738704119|6853.352|22.708|22.708|583.693|736|572.257|1.272|1.394603|6.849|1.019|23.154|0.239|0.95|0.992|Слабый|154
3.144|4.6299600000000005|8381.008|145.22190064802524|7155.892|60.375|60.375|592.076|736|-|1.387|Не определено|7.45|-|12.51|0.248|0.95|0.992|Ниже среднего|155
4.161|6.17328|14725.856|162.05130777355063|7827.052|113.815|113.815|646.403|736|-|1.654|Не определено|8.854|-|17.388|0.344|0.95|0.992|Ниже среднего|156
5.14|-|21639.277|201.51672772623144|8510.342|175.305|175.305|714.831|736|-|2.074|Не определено|11.003|-|25.421|0.503|0.95|0.992|Выше среднего|157
6.175|9.25992|29797.827|241.6139219615492|8845.964|246.326|246.326|781.591|736|672.623|2.495|Не определено|13.123|1.03|34.532|0.684|0.95|0.992|Выше среднего|158
7.148|10.80324|38975.735|280.447462911838|9140.988|332.111|332.111|837.239|736|-|2.953|Не определено|15.389|-|44.508|0.881|0.95|0.992|Сильный|159
8.206|12.34656|50996.889|323.33460086305365|9324.684|437.976|437.976|934.68|736|-|3.561|Не определено|18.271|-|60.807|1.204|0.95|0.992|Сильный|160
9.3|13.88988|72775.917|372.84840491824144|9791.421|644.946|644.946|1100.727|736|786.755|4.477|1.394603|22.35|1.049|90.768|1.797|0.95|0.992|Сильный|161
1.138|1.54332|530.989|138.68634073100728|6707.512|6.181|6.181|473.949|736|-|1.103|Не определено|5.916|-|19.388|0.108|0.95|0.993|Слабый|162
